Section,Model,Variant,Scaling Used,SMOTE Used,Tuned,CV Accuracy,CV F1,Holdout Accuracy,Holdout F1,ROC-AUC,Notes
Block 2: Makkena & Natarajan,Logistic Regression,baseline,StandardScaler,Yes,No,0.6273053033922599,0.5458464688069957,0.6491228070175439,0.5918367346938775,0.7826412270856715,Baseline LogisticRegression + scaling + SMOTE
Block 3: Ma & Li,Easy Ensemble,baseline,None,No,No,0.6513855709507883,0.5604091271605005,0.6403508771929824,0.5858585858585859,0.7474747474747475,EasyEnsembleClassifier imbalance-aware ensemble
Block 2: Makkena & Natarajan,AdaBoost,baseline,None,Yes,No,0.6426421404682274,0.533964038066045,0.6403508771929824,0.5858585858585859,0.7343808454919566,Baseline AdaBoostClassifier + SMOTE
Block 3: Ma & Li,Balanced Bagging,baseline,None,No,No,0.6645246058289537,0.5570826968499963,0.6578947368421053,0.5806451612903226,0.7351290684624018,BalancedBaggingClassifier imbalance-aware ensemble
Block 2: Makkena & Natarajan,Logistic Regression,tuned,StandardScaler,Yes,Yes,0.6118251313903488,0.564477332401168,0.6140350877192983,0.5769230769230769,0.7856341189674523,"GridSearchCV over LogisticRegression C and penalty | best_params={""model__C"": 0.1, ""model__penalty"": ""l1""}"
Block 3: Ma & Li,RUSBoost,baseline,None,No,No,0.6293836598184425,0.48928426870195985,0.6842105263157895,0.5714285714285714,0.7306397306397308,RUSBoostClassifier imbalance-aware boosting
Block 1: Hanif & Khan,SVM (RBF),baseline,StandardScaler,Yes,No,0.6184185379837553,0.5320656951556952,0.6403508771929824,0.5591397849462365,0.7497194163860831,SVC with RBF kernel + scaling + SMOTE recreation
Block 2: Makkena & Natarajan,Random Forest,tuned,None,Yes,Yes,0.6755613951266126,0.568462617225343,0.6491228070175439,0.5555555555555556,0.7313879536101758,"RandomizedSearchCV over RandomForestClassifier tree settings | best_params={""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Block 2: Makkena & Natarajan,Naive Bayes,baseline,None,Yes,No,0.5658146201624462,0.5495290837816482,0.5614035087719298,0.5535714285714286,0.7175458286569397,Baseline GaussianNB + SMOTE
Block 2: Makkena & Natarajan,XGBoost,tuned,None,Yes,Yes,0.6841853798375539,0.5304506889429236,0.6666666666666666,0.5476190476190477,0.7261503928170595,"RandomizedSearchCV over XGBClassifier settings | best_params={""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
Block 3: Ma & Li,QDA,baseline,StandardScaler,No,No,0.5262780697563306,0.5405303283342796,0.5175438596491229,0.5454545454545454,0.7545828656939768,QuadraticDiscriminantAnalysis + scaling
Block 2: Makkena & Natarajan,Gradient Boosting,baseline,None,Yes,No,0.6601290014333492,0.4395633156838617,0.6754385964912281,0.5194805194805194,0.7399925177702955,Baseline GradientBoostingClassifier + SMOTE
Block 1: Hanif & Khan,Random Forest,baseline,None,Yes,No,0.6842570473005256,0.4892376962090658,0.6666666666666666,0.4864864864864865,0.7530864197530864,RandomForestClassifier + SMOTE recreation
Block 2: Makkena & Natarajan,Random Forest,baseline,None,Yes,No,0.6842570473005256,0.4892376962090658,0.6666666666666666,0.4864864864864865,0.7530864197530864,Baseline RandomForestClassifier + SMOTE
Block 2: Makkena & Natarajan,XGBoost,baseline,None,Yes,No,0.6732202580028667,0.448608917251111,0.6842105263157895,0.47058823529411764,0.7209128320239431,Baseline XGBClassifier + SMOTE
Block 1: Hanif & Khan,Decision Tree,baseline,None,Yes,No,0.6314859053989489,0.5314384807342554,0.5964912280701754,0.43902439024390244,0.6178451178451179,DecisionTreeClassifier + SMOTE recreation
Block 2: Makkena & Natarajan,Bagging Classifier,baseline,None,Yes,No,0.6908265647396081,0.4870295396611186,0.631578947368421,0.43243243243243246,0.7106247661803218,Baseline BaggingClassifier + SMOTE
Block 3: Ma & Li,Gradient Boosting,baseline,None,No,No,0.6885570950788342,0.3657963939609708,0.6578947368421053,0.4,0.7052001496445941,GradientBoostingClassifier without SMOTE
Block 3: Ma & Li,HistGradientBoosting,baseline,None,No,No,0.695054945054945,0.3976713004042197,0.6491228070175439,0.3939393939393939,0.6891133557800224,HistGradientBoostingClassifier without SMOTE
Block 3: Ma & Li,Stacking Classifier,baseline,StandardScaler,No,No,0.6951505016722408,0.04920782851817335,0.7280701754385965,0.20512820512820512,0.7845117845117846,"Stacking of Logistic Regression, Random Forest, and Gradient Boosting with Logistic Regression final estimator"
Block 3: Ma & Li,Gaussian Process Classifier,baseline,StandardScaler,No,No,0.7127329192546584,0.0,0.7105263157894737,0.0,0.7949869060980173,GaussianProcessClassifier + scaling
